bbg_ticker,change,count,delist_date,effective_date,fund_beta,halt_flag,ipo_date,ipo_return,listing_place,number_of_cons,review_type,sector,stock_beta,stock_code,stock_name,stock_name_chinese,trade_end_date,trade_id,trade_start_date,year
9633 HK Equity,Add,1,,2020-09-22,0.981,False,2020-09-08,53.95348837209304,HK,485,Interim,Consumer Staples,,9633,NONGFU SPRING,農夫山泉,2020-10-12,0,2020-09-08,2020
816 HK Equity,Delete,-1,2020-09-21,2020-09-22,0.981,False,,,HK,485,Interim,Utilities,0.8244,816,HUADIAN FUXIN,華電福新,2020-09-21,1,2020-06-30,2020
35 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Properties & Construction,0.7959,35,FE CONSORT INTL,遠東發展,2020-10-12,2,2020-06-15,2020
41 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Properties & Construction,0.7314,41,GREAT EAGLE H,鷹君,2020-10-12,3,2020-06-15,2020
699 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Consumer Discretionary,0.8061,699,CAR INC,神州租車,2020-10-12,4,2020-06-15,2020
1141 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Financials,0.6508,1141,CMBC CAPITAL,民銀資本,2020-10-12,5,2020-06-15,2020
1475 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Consumer Staples,0.7881,1475,NISSIN FOODS,日清食品,2020-10-12,6,2020-06-15,2020
1675 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Information Technology,0.614,1675,ASIAINFO TECH,亞信科技,2020-10-12,7,2020-06-15,2020
1773 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Consumer Discretionary,1.1811,1773,TIANLI EDU,天立教育,2020-10-12,8,2020-06-15,2020
1801 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Healthcare,1.0168,1801,INNOVENT BIO,信達生物,2020-10-12,9,2020-06-15,2020
1817 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Consumer Discretionary,0.63,1817,MULSANNE GROUP,慕尚集團控股,2020-10-12,10,2020-06-15,2020
1995 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Properties & Construction,1.1139000000000001,1995,EVERSUNSHINE LS,永升生活服務,2020-10-12,11,2020-06-15,2020
2342 HK Equity,Add,32,,2020-09-07,0.9807,False,,,HK,485,Regular,Information Technology,1.1152,2342,COMBA,京信通信,2020-10-12,12,2020-06-15,2020
